id,name,abbrev,creation_time,mod_time,
4,Afghanistan,AFG,NULL,NULL,
248,Åland Islands,ALA,NULL,NULL,
8,Albania,ALB,NULL,NULL,
12,Algeria,DZA,NULL,NULL,
16,American Samoa,ASM,NULL,NULL,
20,Andorra,AND,NULL,NULL,
24,Angola,AGO,NULL,NULL,
660,Anguilla,AIA,NULL,NULL,
10,Antarctica,ATA,NULL,NULL,
28,Antigua and Barbuda,ATG,NULL,NULL,
32,Argentina,ARG,NULL,NULL,
51,Armenia,ARM,NULL,NULL,
533,Aruba,ABW,NULL,NULL,
36,Australia,AUS,NULL,NULL,
40,Austria,AUT,NULL,NULL,
31,Azerbaijan,AZE,NULL,NULL,
44,Bahamas,BHS,NULL,NULL,
48,Bahrain,BHR,NULL,NULL,
50,Bangladesh,BGD,NULL,NULL,
52,Barbados,BRB,NULL,NULL,
112,Belarus,BLR,NULL,NULL,
56,Belgium,BEL,NULL,NULL,
84,Belize,BLZ,NULL,NULL,
204,Benin,BEN,NULL,NULL,
60,Bermuda,BMU,NULL,NULL,
64,Bhutan,BTN,NULL,NULL,
68,Bolivia (Plurinational State of),BOL,NULL,NULL,
535,Bonaire, Sint Eustatius and Saba,BES,NULL,NULL
70,Bosnia and Herzegovina,BIH,NULL,NULL,
72,Botswana,BWA,NULL,NULL,
74,Bouvet Island,BVT,NULL,NULL,
76,Brazil,BRA,NULL,NULL,
86,British Indian Ocean Territory,IOT,NULL,NULL,
96,Brunei Darussalam,BRN,NULL,NULL,
100,Bulgaria,BGR,NULL,NULL,
854,Burkina Faso,BFA,NULL,NULL,
108,Burundi,BDI,NULL,NULL,
132,Cabo Verde,CPV,NULL,NULL,
116,Cambodia,KHM,NULL,NULL,
120,Cameroon,CMR,NULL,NULL,
124,Canada,CAN,NULL,NULL,
136,Cayman Islands,CYM,NULL,NULL,
140,Central African Republic,CAF,NULL,NULL,
148,Chad,TCD,NULL,NULL,
152,Chile,CHL,NULL,NULL,
156,China,CHN,NULL,NULL,
162,Christmas Island,CXR,NULL,NULL,
166,Cocos (Keeling) Islands,CCK,NULL,NULL,
170,Colombia,COL,NULL,NULL,
174,Comoros,COM,NULL,NULL,
178,Congo,COG,NULL,NULL,
180,Congo (Democratic Republic of the),COD,NULL,NULL,
184,Cook Islands,COK,NULL,NULL,
188,Costa Rica,CRI,NULL,NULL,
384,Côte d'Ivoire,CIV,NULL,NULL,
191,Croatia,HRV,NULL,NULL,
192,Cuba,CUB,NULL,NULL,
531,Curaçao,CUW,NULL,NULL,
196,Cyprus,CYP,NULL,NULL,
203,Czech Republic,CZE,NULL,NULL,
208,Denmark,DNK,NULL,NULL,
262,Djibouti,DJI,NULL,NULL,
212,Dominica,DMA,NULL,NULL,
214,Dominican Republic,DOM,NULL,NULL,
218,Ecuador,ECU,NULL,NULL,
818,Egypt,EGY,NULL,NULL,
222,El Salvador,SLV,NULL,NULL,
226,Equatorial Guinea,GNQ,NULL,NULL,
232,Eritrea,ERI,NULL,NULL,
233,Estonia,EST,NULL,NULL,
231,Ethiopia,ETH,NULL,NULL,
238,Falkland Islands (Malvinas),FLK,NULL,NULL,
234,Faroe Islands,FRO,NULL,NULL,
242,Fiji,FJI,NULL,NULL,
246,Finland,FIN,NULL,NULL,
250,France,FRA,NULL,NULL,
254,French Guiana,GUF,NULL,NULL,
258,French Polynesia,PYF,NULL,NULL,
260,French Southern Territories,ATF,NULL,NULL,
266,Gabon,GAB,NULL,NULL,
270,Gambia,GMB,NULL,NULL,
268,Georgia,GEO,NULL,NULL,
276,Germany,DEU,NULL,NULL,
288,Ghana,GHA,NULL,NULL,
292,Gibraltar,GIB,NULL,NULL,
300,Greece,GRC,NULL,NULL,
304,Greenland,GRL,NULL,NULL,
308,Grenada,GRD,NULL,NULL,
312,Guadeloupe,GLP,NULL,NULL,
316,Guam,GUM,NULL,NULL,
320,Guatemala,GTM,NULL,NULL,
831,Guernsey,GGY,NULL,NULL,
324,Guinea,GIN,NULL,NULL,
624,Guinea-Bissau,GNB,NULL,NULL,
328,Guyana,GUY,NULL,NULL,
332,Haiti,HTI,NULL,NULL,
334,Heard Island and McDonald Islands,HMD,NULL,NULL,
336,Holy See,VAT,NULL,NULL,
340,Honduras,HND,NULL,NULL,
344,Hong Kong,HKG,NULL,NULL,
348,Hungary,HUN,NULL,NULL,
352,Iceland,ISL,NULL,NULL,
356,India,IND,NULL,NULL,
360,Indonesia,IDN,NULL,NULL,
364,Iran (Islamic Republic of),IRN,NULL,NULL,
368,Iraq,IRQ,NULL,NULL,
372,Ireland,IRL,NULL,NULL,
833,Isle of Man,IMN,NULL,NULL,
376,Israel,ISR,NULL,NULL,
380,Italy,ITA,NULL,NULL,
388,Jamaica,JAM,NULL,NULL,
392,Japan,JPN,NULL,NULL,
832,Jersey,JEY,NULL,NULL,
400,Jordan,JOR,NULL,NULL,
398,Kazakhstan,KAZ,NULL,NULL,
404,Kenya,KEN,NULL,NULL,
296,Kiribati,KIR,NULL,NULL,
408,Korea (Democratic People's Republic of),PRK,NULL,NULL,
410,Korea (Republic of),KOR,NULL,NULL,
414,Kuwait,KWT,NULL,NULL,
417,Kyrgyzstan,KGZ,NULL,NULL,
418,Lao People's Democratic Republic,LAO,NULL,NULL,
428,Latvia,LVA,NULL,NULL,
422,Lebanon,LBN,NULL,NULL,
426,Lesotho,LSO,NULL,NULL,
430,Liberia,LBR,NULL,NULL,
434,Libya,LBY,NULL,NULL,
438,Liechtenstein,LIE,NULL,NULL,
440,Lithuania,LTU,NULL,NULL,
442,Luxembourg,LUX,NULL,NULL,
446,Macao,MAC,NULL,NULL,
807,Macedonia (the former Yugoslav Republic of),MKD,NULL,NULL,
450,Madagascar,MDG,NULL,NULL,
454,Malawi,MWI,NULL,NULL,
458,Malaysia,MYS,NULL,NULL,
462,Maldives,MDV,NULL,NULL,
466,Mali,MLI,NULL,NULL,
470,Malta,MLT,NULL,NULL,
584,Marshall Islands,MHL,NULL,NULL,
474,Martinique,MTQ,NULL,NULL,
478,Mauritania,MRT,NULL,NULL,
480,Mauritius,MUS,NULL,NULL,
175,Mayotte,MYT,NULL,NULL,
484,Mexico,MEX,NULL,NULL,
583,Micronesia (Federated States of),FSM,NULL,NULL,
498,Moldova (Republic of),MDA,NULL,NULL,
492,Monaco,MCO,NULL,NULL,
496,Mongolia,MNG,NULL,NULL,
499,Montenegro,MNE,NULL,NULL,
500,Montserrat,MSR,NULL,NULL,
504,Morocco,MAR,NULL,NULL,
508,Mozambique,MOZ,NULL,NULL,
104,Myanmar,MMR,NULL,NULL,
516,Namibia,NAM,NULL,NULL,
520,Nauru,NRU,NULL,NULL,
524,Nepal,NPL,NULL,NULL,
528,Netherlands,NLD,NULL,NULL,
540,New Caledonia,NCL,NULL,NULL,
554,New Zealand,NZL,NULL,NULL,
558,Nicaragua,NIC,NULL,NULL,
562,Niger,NER,NULL,NULL,
566,Nigeria,NGA,NULL,NULL,
570,Niue,NIU,NULL,NULL,
574,Norfolk Island,NFK,NULL,NULL,
580,Northern Mariana Islands,MNP,NULL,NULL,
578,Norway,NOR,NULL,NULL,
512,Oman,OMN,NULL,NULL,
586,Pakistan,PAK,NULL,NULL,
585,Palau,PLW,NULL,NULL,
275,Palestine, State of,PSE,NULL,NULL
591,Panama,PAN,NULL,NULL,
598,Papua New Guinea,PNG,NULL,NULL,
600,Paraguay,PRY,NULL,NULL,
604,Peru,PER,NULL,NULL,
608,Philippines,PHL,NULL,NULL,
612,Pitcairn,PCN,NULL,NULL,
616,Poland,POL,NULL,NULL,
620,Portugal,PRT,NULL,NULL,
630,Puerto Rico,PRI,NULL,NULL,
634,Qatar,QAT,NULL,NULL,
638,Réunion,REU,NULL,NULL,
642,Romania,ROU,NULL,NULL,
643,Russian Federation,RUS,NULL,NULL,
646,Rwanda,RWA,NULL,NULL,
652,Saint Barthélemy,BLM,NULL,NULL,
654,Saint Helena, Ascension and Tristan da Cunha,SHN,NULL,NULL
659,Saint Kitts and Nevis,KNA,NULL,NULL,
662,Saint Lucia,LCA,NULL,NULL,
663,Saint Martin (French part),MAF,NULL,NULL,
666,Saint Pierre and Miquelon,SPM,NULL,NULL,
670,Saint Vincent and the Grenadines,VCT,NULL,NULL,
882,Samoa,WSM,NULL,NULL,
674,San Marino,SMR,NULL,NULL,
678,Sao Tome and Principe,STP,NULL,NULL,
682,Saudi Arabia,SAU,NULL,NULL,
686,Senegal,SEN,NULL,NULL,
688,Serbia,SRB,NULL,NULL,
690,Seychelles,SYC,NULL,NULL,
694,Sierra Leone,SLE,NULL,NULL,
702,Singapore,SGP,NULL,NULL,
534,Sint Maarten (Dutch part),SXM,NULL,NULL,
703,Slovakia,SVK,NULL,NULL,
705,Slovenia,SVN,NULL,NULL,
90,Solomon Islands,SLB,NULL,NULL,
706,Somalia,SOM,NULL,NULL,
710,South Africa,ZAF,NULL,NULL,
239,South Georgia and the South Sandwich Islands,SGS,NULL,NULL,
728,South Sudan,SSD,NULL,NULL,
724,Spain,ESP,NULL,NULL,
144,Sri Lanka,LKA,NULL,NULL,
729,Sudan,SDN,NULL,NULL,
740,Suriname,SUR,NULL,NULL,
744,Svalbard and Jan Mayen,SJM,NULL,NULL,
748,Swaziland,SWZ,NULL,NULL,
752,Sweden,SWE,NULL,NULL,
756,Switzerland,CHE,NULL,NULL,
760,Syrian Arab Republic,SYR,NULL,NULL,
158,Taiwan, Province of China,TWN,NULL,NULL
762,Tajikistan,TJK,NULL,NULL,
834,Tanzania, United Republic of,TZA,NULL,NULL
764,Thailand,THA,NULL,NULL,
626,Timor-Leste,TLS,NULL,NULL,
768,Togo,TGO,NULL,NULL,
772,Tokelau,TKL,NULL,NULL,
776,Tonga,TON,NULL,NULL,
780,Trinidad and Tobago,TTO,NULL,NULL,
788,Tunisia,TUN,NULL,NULL,
792,Turkey,TUR,NULL,NULL,
795,Turkmenistan,TKM,NULL,NULL,
796,Turks and Caicos Islands,TCA,NULL,NULL,
798,Tuvalu,TUV,NULL,NULL,
800,Uganda,UGA,NULL,NULL,
804,Ukraine,UKR,NULL,NULL,
784,United Arab Emirates,ARE,NULL,NULL,
826,United Kingdom of Great Britain and Northern Ireland,GBR,NULL,NULL,
581,United States Minor Outlying Islands,UMI,NULL,NULL,
840,United States of America,USA,NULL,NULL,
858,Uruguay,URY,NULL,NULL,
860,Uzbekistan,UZB,NULL,NULL,
548,Vanuatu,VUT,NULL,NULL,
862,Venezuela (Bolivarian Republic of),VEN,NULL,NULL,
704,Viet Nam,VNM,NULL,NULL,
92,Virgin Islands (British),VGB,NULL,NULL,
850,Virgin Islands (U.S.),VIR,NULL,NULL,
876,Wallis and Futuna,WLF,NULL,NULL,
732,Western Sahara,ESH,NULL,NULL,
887,Yemen,YEM,NULL,NULL,
894,Zambia,ZMB,NULL,NULL,
716,Zimbabwe,ZWE,NULL,NULL,
